,index,0_x,1,2,3,4,5,6,7,8,latitude,longitude,0_y,0,traveltime_totube,traveltime_totube_pub
95,9044,87632,Old Fold Manor Artisans Golf Club,"""Old Fold Manor Golf Club,  Old Fold Lane, Barnet""",EN5 4QN,524569,197727.0,51.664515,-0.200276,Barnet,51.664515,-0.200276,121,1.6340195740429213,19.452613976701443,19.452613976701443
96,9045,87633,Old Fold Manor Golf Club,"""Old Fold Manor Golf Club,  Old Fold Lane, Barnet""",EN5 4QN,524569,197727.0,51.664515,-0.200276,Barnet,51.664515,-0.200276,121,1.6340195740429213,19.452613976701443,19.452613976701443
97,9046,87644,Orange Tree Public House,"""Orange Tree, 7 Totteridge Village, London""",N20 8NX,524930,193895.0,51.630007,-0.196426,Barnet,51.630007,-0.196426,260,1.1964550936636411,14.24351301980525,14.24351301980525
98,9047,87650,Osidge Arms,"""Osidge Arms,  Hampden Square, London""",N14 5JP,528662,194228.0,51.632159,-0.142414,Barnet,51.632159,-0.142414,231,0.9951702332455201,11.847264681494286,11.847264681494286
99,9048,87654,Oxi Football Club,"""232 Woodhouse Road, London""",N12 0RS,527308,191891.0,51.611474,-0.162815,Barnet,51.611474,-0.16281500000000002,301,1.7284240788940177,20.576477129690687,20.576477129690687
100,9049,87669,Papillion Lounge Bar,"""The Market Place,  Falloden Way, London""",NW11 6JJ,526002,188985.0,51.585643,-0.182709,Barnet,51.585643,-0.18270899999999998,77,1.239385925519729,14.754594351425345,14.754594351425345
101,9050,87748,Powerleague Fives Limited,"""Powerleague Soccer Centre, 31 Pursley Road, London""",NW7 2BB,522890,191345.0,51.607539,-0.226777,Barnet,51.607539,-0.226777,165,1.1405735056104327,13.578256019171818,13.578256019171818
102,9051,87759,Prince Of Wales,"""Prince Of Wales, 2 Church Hill Road, Barnet""",EN4 8TB,527209,195239.0,51.641566,-0.16303,Barnet,51.641566,-0.16303,57,1.459377253464991,17.373538731726082,17.373538731726082
103,9052,87774,Queens Arms,"""Queens Arms,  Great North Road, Barnet""",EN5 1AB,525464,195762.0,51.646658,-0.188061,Barnet,51.646658,-0.18806099999999998,121,0.5911985774573771,7.0380783030640135,7.0380783030640135
104,9053,87782,Railway Tavern,"""Railway Tavern, 129 Hale Lane, London""",NW7 3SB,520641,192276.0,51.616401,-0.258918,Barnet,51.616401,-0.258918,81,1.1506528612488964,13.698248348201147,13.698248348201147
105,9054,87783,Railway Tavern,"""Railway Tavern, 3 East Barnet Road, Barnet""",EN4 8RR,526395,196178.0,51.650187,-0.174448,Barnet,51.650187,-0.174448,121,1.3701175562805363,16.310923289054003,16.310923289054003
106,9055,87795,Red Lion,"""Toby Carvery, 31 High Street, Barnet""",EN5 5UW,524632,196424.0,51.6528,-0.199829,Barnet,51.6528,-0.199829,121,0.47214180175710224,5.620735735203597,5.620735735203597
107,9056,87827,Royal British Legion,"""38 Brookhill Road, Barnet""",EN4 8SL,527265,195531.0,51.644177,-0.162115,Barnet,51.644177,-0.162115,57,1.2026091649834507,14.316775773612507,14.316775773612507
108,9057,87883,Sebright Arms,"""Sebright Arms, 9 Alston Road, Barnet""",EN5 4ET,524086,196779.0,51.656111,-0.207592,Barnet,51.656110999999996,-0.207592,121,1.1221235499699944,13.35861369011898,13.35861369011898
109,9058,87932,South Herts Golf Club,"""South Herts Golf Club,  Links Drive, London""",N20 8QU,525512,194174.0,51.632376,-0.187922,Barnet,51.632376,-0.187922,260,0.6554206614514585,7.802626922041172,7.802626922041172
110,9059,87933,Southover Pre School,"""Old Finchleians Club, 12 Southover, London""",N12 7JE,525371,192704.0,51.619205,-0.190484,Barnet,51.619205,-0.190484,301,0.36720597007974404,4.371499643806477,4.371499643806477
111,9060,87950,St Barnabas,"""St Barnabas Church,  Holden Road, London""",N12 7DN,525618,192492.0,51.617254,-0.186993,Barnet,51.617253999999996,-0.186993,301,0.12007719661804771,1.4294904359291394,1.4294904359291394
112,9061,87952,St Edwards Church Social Club,"""St Edward The Confessor Roman Catholic Church, 700 Finchley Road, London""",NW11 7NE,525072,187928.0,51.576351,-0.196501,Barnet,51.576351,-0.196501,100,0.46976815165988683,5.592477995951033,5.592477995951033
113,9062,87972,St Peter's Social Club,"""63 Somerset Road, Barnet""",EN5 1RF,526217,195953.0,51.648205,-0.1771,Barnet,51.648205,-0.1771,121,1.209717499666483,14.401398805553368,14.401398805553368
114,9063,88039,Tally Ho,"""749 High Road, London""",N12 0BP,526359,192121.0,51.613746,-0.17643,Barnet,51.613746,-0.17643,301,0.7839665490173479,9.332935107349378,9.332935107349378
115,9064,88062,Templars Lawn Tennis Club,"""Templars Lawn Tennis Club,  St Andrews Road, London""",NW11 0PJ,524783,188117.0,51.578113,-0.200602,Barnet,51.578113,-0.200602,100,0.7783487204107161,9.266056195365667,9.266056195365667
116,9065,88091,The Arena Club,"""17 Central Circus, London""",NW4 3AS,522958,188632.0,51.583142,-0.226746,Barnet,51.583141999999995,-0.226746,119,0.06437039874441844,0.7663142707668861,0.7663142707668861
117,9066,88092,The Arkley,"""The Arkley Public House, 2 Barnet Road, Barnet""",EN5 3EP,523198,196318.0,51.652155,-0.220585,Barnet,51.652155,-0.220585,121,1.8256824724633764,21.73431514837353,21.73431514837353
118,9067,88098,The Beaufort,"""2 Heritage Avenue, London""",NW9 5AA,521806,190094.0,51.596531,-0.242857,Barnet,51.596531,-0.24285700000000002,58,0.5201720775349477,6.1925247325589,6.1925247325589
119,9068,88102,The Black Horse,"""The Black Horse, 92 Wood Street, Barnet""",EN5 4BW,524282,196473.0,51.653318,-0.204868,Barnet,51.653318,-0.204868,121,0.8028600272151705,9.557857466847267,9.557857466847267
